Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG,48,0.606966561,0.018450106,0,0.224126858,0,0,0.414917728,0,0.074848726,0.004612527,0,0,0,0.059962845,0.000628981,0.000419321,0.292476115,0.497523885,0,0.04235138,0,0,0,0,0,16.75571272,37.07129028,24.50966083,40.83159939
BO-BC-BY-BU-BA-BP-CH-AC-CG-CC-DL,0,0,0,0,0,0.0006,0,0.0006,0.0006,0.0006,0,0,0.0006,0.0006,0,0,0,0.0006,0.0006,0,0.0006,0,0,0.0006,0.0006,0,0,0,28,0
BO-BC-BY-BU-BA-BP-CH-AC-CG-CC-DL,16,0,0,0,0,0.342256025,0,0.531617882,0.170722816,0.121558967,0,0,0.203948933,0.283097327,0,0,0,0.061860008,0.073475642,0,0.037278083,0,0,0.015397469,0.760959133,0,18.2513484,67.49368508,30.12283147,13.03976636
BO-BC-BY-BU-BA-BP-CH-AC-CG-CC-DL,32,0,0,0,0,0.206649906,0,0.353145762,0.098787471,0.076488987,0,0,0.036299858,0.150385126,0,0,0,0.049523378,0.44130256,0,0.030854879,0,0,0.015038513,0.427819755,0,17.95540056,55.96203004,28.47169226,13.04396614
BO-BC-BY-BU-BA-BP-CH-AC-CG-CC-DL,48,0,0,0,0,0.188589431,0,0.254223803,0.096154356,0.034786217,0,0,0.011814187,0.068369138,0,0,0,0.039490014,0.534920137,0,0.024065937,0,0,0.009626375,0.305856176,0,19.34414088,51.14916244,26.13087889,16.66000311
PC-BV-BF-BT-BL-CA-CH-BH-CG-ER-RI-CC-DL,0,0.000507692,0,0.000507692,0.000507692,0,0.000507692,0,0,0,0,0.000507692,0,0,0.000507692,0,0,0.000507692,0,0.000507692,0.000507692,0.000507692,0.000507692,0.000507692,0.000507692,0,0,0,28,0
PC-BV-BF-BT-BL-CA-CH-BH-CG-ER-RI-CC-DL,16,0.040630489,0,0.028021027,0.232854736,0,0.270262807,0,0,0,0,0.018353773,0,0,0.017232932,0,0,0.086304764,0,0.003362523,0.029562184,0.422697195,0.002241682,0.010788095,0.266199758,0,5.84280256,55.5838452,40.85999441,16.49077158
PC-BV-BF-BT-BL-CA-CH-BH-CG-ER-RI-CC-DL,32,0.05901275,0,0.025870919,0.21339281,0,0.342578314,0,0,0,0,0.020121826,0,0,0.01386546,0,0,0.109570951,0,0.002198183,0.038890924,0.379440147,0.002198183,0.013189096,0.347481952,0,6.57977552,59.64871956,45.71582791,17.37861035
PC-BV-BF-BT-BL-CA-CH-BH-CG-ER-RI-CC-DL,48,0.10692333,0,0.012579215,0.278777609,0,0.59584783,0,0,0,0,0.017758892,0,0,0.007769515,0,0,0.131711783,0,0.003144804,0.062526099,0.369791931,0.002774827,0.016463973,0.34352357,0,6.22692272,57.15808796,47.05898889,21.09880488
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,0,0,0,0,0,0,0,0.0006,0,0.0006,0.0006,0.0006,0,0.0006,0.0006,0.0006,0.0006,0,0,0.0006,0,0,0,0,0.0006,0.0006,0,0,28,0
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,16,0,0,0,0,0,0,0.743964354,0,0.15587983,0.011977959,0.010480714,0,0.209115204,0.030277619,0.001330884,0.000332721,0,0,0.001497245,0,0,0,0,0.306768844,0.154881667,0.30539048,61.39043596,54.17905765,11.98589679
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,32,0,0,0,0,0,0,0.775864642,0,0.125267634,0.008155989,0.032623958,0,0.27960405,0.035342621,0.004391687,0.000209128,0,0,0.00104564,0,0,0,0,0.339205512,0.227112938,0.72099992,52.58407892,55.56850088,11.82875188
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,48,0,0,0,0,0,0,0.949757822,0,0.104214934,0.007600765,0.014357001,0,0.163669808,0.012836848,0.002533588,0.000168906,0,0,0.001182341,0,0,0,0,0.292882814,0.260115071,1.76906968,55.35610532,59.45763081,13.98110143
PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG,0,0,0.0006,0,0.0006,0,0,0.0006,0,0.0006,0,0,0,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0,0.0006,0,0,0,0,0,0,0,28,0
PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG,16,0,0.027646825,0,0.256033644,0,0,0.886381263,0,0.197855107,0,0,0,0.226223154,0.172371946,0.001202036,0.000961629,0.058659351,0.461822188,0,0.031974155,0,0,0,0,0,39.45740456,37.1693884,7.85269575,23.93151125
PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG,32,0,0.019535893,0,0.235458915,0,0,0.448502965,0,0.05901896,0,0,0,0.135723043,0.166157907,0.012955381,0.001645128,0.561194218,0.380641443,0,0.024676917,0,0,0,0,0,43.48798568,34.19913272,1.17199858,25.50339767
PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG,48,0,0.01584404,0,0.31593771,0,0,0.417792256,0,0.053756566,0,0,0,0.137315017,0.180886128,0.007356162,0.000377239,0.210876633,0.475887071,0,0.050738653,0,0,0,0,0,46.92036976,31.54492808,1.04203728,28.09726323
BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF,0,0,0,0,0,0.0006,0,0.0006,0.0006,0.0006,0,0,0.0006,0,0.0006,0.0006,0,0,0.0006,0,0,0,0.0006,0,0.0006,0.0006,0,0,28,0
